Edge,From,To,Relationship,Score
1150,MLNR,PROK1,Interaction,900
1152,UTS2,HCRT,Interaction,920
1155,PROKR2,HCRT,Interaction,907
1156,MLNR,HCRT,Interaction,918
1157,UTS2,GHSR,Interaction,900
1158,PROKR2,GHSR,Interaction,902
1159,MLNR,GHSR,Interaction,905
1160,UTS2,UTS2R,Interaction,994
1161,PROKR2,UTS2R,Interaction,902
1163,MLNR,UTS2R,Interaction,901
1164,UTS2,GNRHR,Interaction,904
1165,PROKR2,GNRHR,Interaction,926
1166,MLNR,GNRHR,Interaction,907
1168,UTS2,EDN3,Interaction,919
1169,PROKR2,EDN3,Interaction,940
1170,MLNR,EDN3,Interaction,912
1179,RHOV,SRGAP3,Interaction,930
1185,NGFR,NDN,Interaction,993
1186,GCK,NEUROD1,Interaction,965
1192,ITGB4,PMP22,Interaction,905
1198,RHOV,ARHGEF17,Interaction,917
1202,CRYBB1,GJA3,Interaction,857
1204,CEACAM6,RAB44,Interaction,902
1208,TBX21,FASLG,Interaction,732
1210,GZMB,FASLG,Interaction,788
1217,GZMB,KLRB1,Interaction,786
1225,IL2RB,IL3RA,Interaction,935
1233,TRPM5,TRPV5,Interaction,732
1237,TRPM5,PKD1L3,Interaction,814
1238,TRPM5,CALHM1,Interaction,787
1242,CYP24A1,GC,Interaction,795
1246,LMCD1,GATA6,Interaction,947
1254,CTTNBP2,STRIP2,Interaction,915
1255,CTTNBP2,CTTNBP2NL,Interaction,872
1267,NGFR,KITLG,Interaction,718
1271,USP18,MX1,Interaction,994
1274,IL2RB,SOCS1,Interaction,953
1275,NGFR,TNFRSF21,Interaction,709
1279,TBX21,IL23R,Interaction,833
1283,NTN1,SEMA6D,Interaction,766
1285,CKM,ACTN3,Interaction,718
1286,CKM,MYOZ1,Interaction,756
1290,CKM,TNNT3,Interaction,704
1293,HGF,SERPING1,Interaction,913
1296,OSM,SOCS3,Interaction,777
1298,IL2RB,SOCS3,Interaction,947
1299,PDZD4,BCAM,Interaction,714
1309,NEFM,NES,Interaction,864
1312,FGF20,FGF10,Interaction,910
1313,HGF,FGF10,Interaction,740
1315,UPK3A,UPK3B,Interaction,781
1316,UPK3A,UPK1B,Interaction,951
1317,UPK3A,UPK2,Interaction,921
1319,HGF,FGB,Interaction,913
1320,TFPI2,KLKB1,Interaction,703
1329,FGF20,ANOS1,Interaction,901
1330,PROKR2,ANOS1,Interaction,838
1331,FGF20,KLB,Interaction,909
1336,OSM,CNTF,Interaction,805
1340,IL2RB,EOMES,Interaction,815
1341,GZMB,EOMES,Interaction,829
1342,FGF20,FGFR4,Interaction,982
1344,HGF,FGFR4,Interaction,745
1346,HGF,ANGPT1,Interaction,720
