"Gene","fold_change.x","fold_change.y","STRING_id"
"MAN2A1",4.72295308154566,4.72295308154566,"9606.ENSP00000261483"
"MAP2K6",4.72295308154566,4.72295308154566,"9606.ENSP00000468348"
"MBLAC1",6.22069725650794,6.22069725650794,"9606.ENSP00000381150"
"MBOAT1",2.20115882047724,2.20115882047724,"9606.ENSP00000324944"
"MDK",4.72295308154566,4.72295308154566,"9606.ENSP00000385451"
"MEGF6",3.28665370883609,3.28665370883609,"9606.ENSP00000348982"
"MMD2",2.26833071596447,2.26833071596447,"9606.ENSP00000384690"
"MORN2",3.4966337526055,3.4966337526055,"9606.ENSP00000386563"
"MPZL3",4.72295308154566,4.72295308154566,"9606.ENSP00000278949"
"MRPL40",2.94133539147857,2.94133539147857,"9606.ENSP00000333401"
"MS4A7",2.35206366108183,2.35206366108183,"9606.ENSP00000300184"
"MSGN1",5.00086809599482,5.00086809599482,"9606.ENSP00000281047"
"MYL9",4.30792721071609,4.30792721071609,"9606.ENSP00000279022"
"NAA60",2.17135990627509,2.17135990627509,"9606.ENSP00000385903"
"NAGA",4.25175140681538,4.25175140681538,"9606.ENSP00000379680"
"NANOGNB",5.53030004520881,5.53030004520881,"9606.ENSP00000371553"
"NAT2",2.31325117661551,2.31325117661551,"9606.ENSP00000286479"
"NCAM2",2.72300812989731,2.72300812989731,"9606.ENSP00000383392"
"NDST2",2.31001944187345,2.31001944187345,"9606.ENSP00000310657"
"NDUFV2",2.72300812989731,2.72300812989731,"9606.ENSP00000327268"
"NEGR1",3.72298129589468,3.72298129589468,"9606.ENSP00000350364"
"NKX2-3",2.70272438146139,2.70272438146139,"9606.ENSP00000342828"
"NKX6-1",2.04990746056328,2.04990746056328,"9606.ENSP00000295886"
"NOTCH1",4.56858243799909,4.56858243799909,"9606.ENSP00000277541"
"NPRL3",2.72300812989731,2.72300812989731,"9606.ENSP00000483814"
"NR4A2",2.72300812989731,2.72300812989731,"9606.ENSP00000344479"
"NR5A1",2.72300812989731,2.72300812989731,"9606.ENSP00000362690"
"NTSR2",2.72300812989731,2.72300812989731,"9606.ENSP00000303686"
"NUP50",4.07368372481449,4.07368372481449,"9606.ENSP00000345895"
"NXPH3",4.74161000516739,4.74161000516739,"9606.ENSP00000329295"
"NYNRIN",2.72300812989731,2.72300812989731,"9606.ENSP00000371994"
"OGA",6.04490867176233,6.04490867176233,"9606.ENSP00000354850"
"OR11H12",2.95018867172299,2.95018867172299,"9606.ENSP00000449002"
"OR51B5",7.25085343410895,7.25085343410895,"9606.ENSP00000300773"
"OR51M1",5.04487213861444,5.04487213861444,"9606.ENSP00000333196"
"OSBPL11",2.17058233776318,2.17058233776318,"9606.ENSP00000296220"
"P4HB",3.51741220571261,3.51741220571261,"9606.ENSP00000327801"
"PABPC3",3.72298129589468,3.72298129589468,"9606.ENSP00000281589"
"PAICS",4.30792721071609,4.30792721071609,"9606.ENSP00000382595"
"PCSK9",2.70412566776011,2.70412566776011,"9606.ENSP00000303208"
"PDE4D",2.72300812989731,2.72300812989731,"9606.ENSP00000345502"
"PFDN1",4.97203830390733,4.97203830390733,"9606.ENSP00000261813"
"PHC2",2.72300812989731,2.72300812989731,"9606.ENSP00000257118"
"PHF12",2.72300812989731,2.72300812989731,"9606.ENSP00000329933"
"PHKA1",2.37428504810396,2.37428504810396,"9606.ENSP00000362643"
"PLEKHB2",2.6356769285485,2.6356769285485,"9606.ENSP00000385892"
"PLPPR4",3.71627358450482,3.71627358450482,"9606.ENSP00000359204"
"POLR3K",5.46168985790082,5.46168985790082,"9606.ENSP00000293860"
"POM121L2",2.24595409864813,2.24595409864813,"9606.ENSP00000392726"
"PPL",2.13141876019642,2.13141876019642,"9606.ENSP00000340510"
"PPP3R1",3.72298129589468,3.72298129589468,"9606.ENSP00000234310"
"PPP4C",2.882644893939,2.882644893939,"9606.ENSP00000279387"
"PRR20C",3.15367185666708,3.15367185666708,"9606.ENSP00000438757"
"PSIP1",2.72300812989731,2.72300812989731,"9606.ENSP00000370109"
"PSMB3",4.34618424608545,4.34618424608545,"9606.ENSP00000483688"
"PTCH2",2.72300812989731,2.72300812989731,"9606.ENSP00000361266"
"PTPN21",5.04487213861444,5.04487213861444,"9606.ENSP00000452414"
"PTPRB",4.56858243799909,4.56858243799909,"9606.ENSP00000334928"
"R3HCC1L",4.01284286207479,4.01284286207479,"9606.ENSP00000483494"
"RAB29",3.00371974044179,3.00371974044179,"9606.ENSP00000356107"
"RAB4A",2.88051064430617,2.88051064430617,"9606.ENSP00000355651"
"RAB5B",4.72295308154566,4.72295308154566,"9606.ENSP00000353444"
"RGS22",2.72300812989731,2.72300812989731,"9606.ENSP00000354109"
"RILP",2.40736531284485,2.40736531284485,"9606.ENSP00000301336"
"RIMS2",2.00349951559193,2.00349951559193,"9606.ENSP00000262231"
"RIOK3",2.72300812989731,2.72300812989731,"9606.ENSP00000341874"
"RIPOR3",6.18242041096094,6.18242041096094,"9606.ENSP00000332663"
"RNF141",5.93118536402834,5.93118536402834,"9606.ENSP00000265981"
"RNFT1",4.53146680981783,4.53146680981783,"9606.ENSP00000304670"
"RPP14",4.93116285254657,4.93116285254657,"9606.ENSP00000412894"
"RPS5",5.04487213861444,5.04487213861444,"9606.ENSP00000472985"
"RRP15",2.52233409723555,2.52233409723555,"9606.ENSP00000355899"
"RTL5",2.91028251057872,2.91028251057872,"9606.ENSP00000476792"
