"Betweenness Dir","Bridging Dir","Centroid Dir","Closeness Dir","COMMON","Degree unDir","degree.layout","Eccentricity Dir","EigenVector Dir","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","InDegree","name","OutDegree","Radiality Dir","selected","shared name","Stress Dir"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""HTR3A""","0.0","0.0011135857461024498","false","""HTR3A""","0.0"
"0.0","0.0","0.0","0.0",,"2.0","2","0.0","0.0",,,,,,,"2.0","""HTR5A""","0.0","0.0011135857461024498","false","""HTR5A""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""SYNGR1""","0.0","0.0011135857461024498","false","""SYNGR1""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""WNT4""","0.0","0.0011135857461024498","false","""WNT4""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""WNT2""","0.0","0.0011135857461024498","false","""WNT2""","0.0"
"0.0","0.0","-2.0","2.0",,"2.0","2","1.0","0.0",,,,,,,"0.0","""CELSR3""","2.0","0.0011160714285714285","false","""CELSR3""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""PRICKLE2""","0.0","0.0011135857461024498","false","""PRICKLE2""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""WNT7A""","0.0","0.0011135857461024498","false","""WNT7A""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""FZD9""","0.0","0.0011135857461024498","false","""FZD9""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""FZD7""","0.0","0.0011135857461024498","false","""FZD7""","0.0"
"0.0","0.0","0.0","0.0",,"2.0","2","0.0","0.0",,,,,,,"2.0","""WNT8B""","0.0","0.0011135857461024498","false","""WNT8B""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""NTRK3""","0.0","0.0011135857461024498","false","""NTRK3""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""FZD6""","0.0","0.0011135857461024498","false","""FZD6""","0.0"
"0.0","0.0","-2.0","2.0",,"2.0","2","1.0","0.0",,,,,,,"0.0","""DLL3""","2.0","0.0011160714285714285","false","""DLL3""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""NOTCH3""","0.0","0.0011135857461024498","false","""NOTCH3""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""CPVL""","0.0","0.0011135857461024498","false","""CPVL""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""GPIHBP1""","0.0","0.0011135857461024498","false","""GPIHBP1""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""ART4""","0.0","0.0011135857461024498","false","""ART4""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""LYPD4""","0.0","0.0011135857461024498","false","""LYPD4""","0.0"
